Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
eg,2025nytr,qm,3,b3,7718,1,76.6,tc1
DD,2025nytr,qm,3,b2,191,0,4.9,tc4
DD,2025nytr,qm,3,b2,191,1,14.5,tc4
DD,2025nytr,qm,3,b2,191,2,17,tc4
DD,2025nytr,qm,3,b2,191,3,13.2,tc4
DD,2025nytr,qm,3,b2,191,4,10.8,tc4
DD,2025nytr,qm,3,b2,191,5,9.1,tc4
DD,2025nytr,qm,3,b2,191,6,7.1,tc4
DD,2025nytr,qm,3,b2,191,7,7.8,tc4
DD,2025nytr,qm,3,b2,191,8,8,tc4
DD,2025nytr,qm,3,b2,191,9,14.3,tc3
DD,2025nytr,qm,3,b2,191,10,8.2,tc3
DD,2025nytr,qm,3,b2,191,11,8.3,tc3
ML,2025nytr,qm,3,b1,7031,0,49.2,tap
ML,2025nytr,qm,3,b1,7031,1,52.5,tap
JP,2025nytr,qm,3,r2,3117,0,,{}
J,2025nytr,qm,3,r1,6463,0,12.4,tc4
eg,2025nytr,qm,4,b3,810,0,19.6,tc4
eg,2025nytr,qm,4,b3,810,1,9.9,tc4
eg,2025nytr,qm,4,b3,810,2,24.4,tc3
eg,2025nytr,qm,4,b3,810,3,8.7,tc4
eg,2025nytr,qm,4,b3,810,4,22.3,tc4
eg,2025nytr,qm,4,b3,810,5,25.7,tc4
ap,2025nytr,qm,4,r3,20,0,9.6,tc4
ap,2025nytr,qm,4,r3,20,1,12.4,tc4
ap,2025nytr,qm,4,r3,20,2,11.1,tc4
ap,2025nytr,qm,4,r3,20,3,19.6,tc3
ap,2025nytr,qm,4,r3,20,4,20.1,tap
ap,2025nytr,qm,4,r3,20,5,6.3,tc3
ap,2025nytr,qm,4,r3,20,6,9.1,tap
ap,2025nytr,qm,4,r3,20,7,18.3,tap
DD,2025nytr,qm,4,b2,10714,0,24.1,tc1
DD,2025nytr,qm,4,b2,10714,1,23.7,tc1
DD,2025nytr,qm,4,b2,10714,2,15.8,tc1
DD,2025nytr,qm,4,b2,10714,3,12.7,tc1
DD,2025nytr,qm,4,b2,10714,4,44.8,tc1
J,2025nytr,qm,4,r1,2053,0,29.5,tc4
J,2025nytr,qm,4,r1,2053,1,14.7,tc2
J,2025nytr,qm,4,r1,2053,2,15.9,tc2
J,2025nytr,qm,4,r1,2053,3,53.9,tc3
J,2025nytr,qm,4,r1,2053,4,16.9,tc2
JP,2025nytr,qm,4,r2,250,0,11.2,tc2
JP,2025nytr,qm,4,r2,250,1,25.3,tc2
JP,2025nytr,qm,4,r2,250,2,7.6,tc2
ML,2025nytr,qm,4,b1,229,0,,{}
JP,2025nytr,qm,5,r2,870,0,13.8,tap
JP,2025nytr,qm,5,r2,870,1,4.2,tap
JP,2025nytr,qm,5,r2,870,2,23.4,tc4
JP,2025nytr,qm,5,r2,870,3,13.6,tc4
JP,2025nytr,qm,5,r2,870,4,9.9,tc4
JP,2025nytr,qm,5,r2,870,5,21.7,tc4
JP,2025nytr,qm,5,r2,870,6,11.9,tc4
eg,2025nytr,qm,5,b3,7759,0,,{}
DD,2025nytr,qm,5,b2,8067,0,11,tc4
