Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
mf,2025ohcl,qm,75,b1,2603,4,10.3,tc4
mf,2025ohcl,qm,75,b1,2603,5,11.9,tc4
mf,2025ohcl,qm,75,b1,2603,6,13.4,tc2
mf,2025ohcl,qm,75,b1,2603,7,11,tc2
mf,2025ohcl,qm,75,b1,2603,8,16,tc3
mf,2025ohcl,qm,75,b1,2603,9,20.8,tc2
ML,2025ohcl,qm,75,r1,4991,0,11.7,tc3
ML,2025ohcl,qm,75,r1,4991,1,10,tc3
ML,2025ohcl,qm,75,r1,4991,2,29.4,tc3
ML,2025ohcl,qm,75,r1,4991,3,11.9,tc4
ML,2025ohcl,qm,75,r1,4991,4,10.7,tc4
ML,2025ohcl,qm,75,r1,4991,5,11.5,tc4
ML,2025ohcl,qm,75,r1,4991,6,15.6,tc4
ML,2025ohcl,qm,75,r1,4991,7,18.8,tc4
