Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,21,r2,4930,60,0,,,"9.1,10.2,4.3,22.8,25.3,19.1,23.1","a,117,189,a,a,a,a",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,21,b2,4093,49,0,,,"10.8,92.4","121,98",,0,0,1,0,0,0,0,0,0,very slow at times,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,21,r3,334,24,0,,,"44.4,43.5","118,119",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,21,b3,4458,13,0,"122,124",7,"1.2,5.4,29.3,22,39.7,6.9,7.8","124,173,101,77,53,125,51",101,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,22,b1,1405,25,0,,7,"19.2,20.9,19.6,14.1,29.3,14.6","121,49,a,a,49,49",121,2,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,22,r2,533,36,0,143,,"34.4,59","95,143",119,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,22,b2,2228,13,0,"74,99",,"17.3,0.3,17.3,54.3","a,a,a,98",98,3,1,1,0,0,0,0,0,0,it trapped,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,22,r3,3117,24,0,142,,"0.1,8.6,9.5","118,95,118",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,22,b3,2340,13,0,,,"35.7,30.2","74,74",,0,0,1,0,0,0,0,0,0,struggle to intake hard to line up climb,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,22,r1,3003,12,0,45,3,"33.3,42.3","a,a",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,23,b1,3799,,0,,,,,,0,0,0,0,0,0,0,0,1,not present at match,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,23,r3,378,36,0,,9,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,23,b2,5740,37,0,98,,"34.2,6,13.6,15.7","74,74,98,98","98,99",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,23,b3,4991,49,0,,,"8.7,54.6,17.8,29.1","a,a,a,a",,4,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
